,Drink,Drink ID,Category,Glass,Instructions,Ingredient1,Measure1,Ingredient2,Measure2,Ingredient3,Measure3,Ingredient4,Measure4,Ingredient5,Measure5,Ingredient6,Measure6,Ingredient7,Measure7,Ingredient8,Measure8,Ingredient9,Measure9,Ingredient10,Measure10,Ingredient11,Measure11,Ingredient12,Measure12,Ingredient13,Measure13,Ingredient14,Measure14,Ingredient15,Measure15
302,Imperial Cocktail,12706,Cocktail,Cocktail glass,Shake with ice and strain into cocktail glass.,Lime juice,4 cl ,Gin,2 cl ,Aperol,4 cl ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
303,Imperial Fizz,11524,Ordinary Drink,Highball glass,"Shake all ingredients (except carbonated water) with ice and strain into a highball glass over two ice cubes. Fill with carbonated water, stir, and serve.",Light rum,1/2 oz ,Blended whiskey,1 1/2 oz ,Lemon,Juice of 1/2 ,Powdered sugar,1 tsp ,Carbonated water,"
",,"
",,"
",,"
",,"
",,"
",,,,,,,,,,
304,Ipamena,17176,Ordinary Drink,Wine Glass,"Cut half a lime into pieces, place in a shaker, add the sugar and crush. Measure the passion fruit juice, add it to the shaker and fill up with ice cubes. Close the shaker and shake vigorously. Pour the liquid into a glass, top up with ginger ale, stir with a teaspoon and then garnish the rim of the glass with a slice of lime",Lime,½,Brown sugar,2 tsp,Passion fruit juice,4 cl,Ginger ale,top up with,Ice,fill,,,,,,,,,,,,,,,,,,,,
305,Irish Coffee,13971,Coffee / Tea,Irish coffee cup,"Heat the coffee, whiskey and sugar; do not boil. Pour into glass and top with cream; serve hot.",Irish whiskey,1 1/2 oz ,Coffee,8 oz ,Sugar,1 tsp ,Whipped cream,1 tblsp ,, ,, ,, ,, ,, ,,,,,,,,,,,,
306,Irish Cream,12820,Homemade Liqueur,Irish coffee cup,Mix scotch and milk. Add half-and-half. Add rest.,Scotch,1 cup ,Half-and-half,1 1/4 cup ,Condensed milk,1 can sweetened ,Coconut syrup,3 drops ,Chocolate syrup,1 tblsp ,, ,, ,, ,, ,, ,,,,,,,,,,
307,Irish Curdling Cow,16987,Cocktail,Highball glass,"Pour Irish Cream, Vodka, and Bourbon in a glass. Add some ice and mix in the orange juice.",Bailey's irish cream,3/4 oz ,Bourbon,3/4 oz ,Vodka,3/4 oz ,Orange juice,2-3 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,
308,Irish Russian,17015,Beer,Highball glass,Add the ingredients in the order listed in the recipe. Care must be taken when adding the Guinness to prevent an excess of foam. Do Not add ice.,Vodka,1 shot ,Kahlua,1 shot ,Coca-Cola,1 dash ,Guinness stout,Fill with ,, ,, ,, ,, ,, ,,,,,,,,,,,,
309,Irish Spring,11528,Ordinary Drink,Collins glass,"Pour all ingredients (except orange slice and cherry) into a collins glass over ice cubes. Garnish with the slice of orange, add the cherry on top, and serve.",Irish whiskey,1 oz ,Peach brandy,1/2 oz ,Orange juice,1 oz ,Sweet and sour,1 oz ,Orange,1 slice ,Cherry,1 ,, ,, ,, ,, ,, ,,,,,,,,
310,Jack Rose Cocktail,11542,Ordinary Drink,Cocktail glass,"Shake all ingredients with ice, strain into a cocktail glass, and serve.",Apple brandy,1 1/2 oz ,Grenadine,1 tsp ,Lime,Juice of 1/2 ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
311,Jack's Vanilla Coke,16275,Other/Unknown,Old-fashioned glass,"After pouring in your ingredients, and adding 3-5 ice cubes, according to taste. Stir the drink with a stirrer to get the Vanilla off the bottom.",Ice,4-5 ,Tennessee whiskey,2 oz ,Vanilla extract,1 tsp ,Coca-Cola,10-12 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,
312,Jackhammer,13847,Ordinary Drink,Collins Glass,"Serve over ice- Warning,Deadly!",Jack Daniels,1 oz ,Amaretto,1 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,,
313,Jam Donut,17178,Shot,Shot glass,"Coat the rim of a shot glass with sugar using sugar syrup to stick. Add the Chambord raspberry liqueur to the shot glass, and carefully layer the Baileys Irish Cream on top. Serve.",Baileys irish cream,2/3 oz,Chambord raspberry liqueur,1/3 oz,Sugar syrup,1 tsp,Sugar,2 pinches,,,,,,,,,,,,,,,,,,,,,,
314,Jamaica Kiss,14095,Milk / Float / Shake,Hurricane glass,Fill a tumbler with ice cubes. Add a shot of Tia Maria and a shot of Jamaican light rum. Fill the tumbler with milk. Blend until smooth and serve immediately.,Coffee liqueur,1 shot ,Light rum,1 shot Jamaican ,Ice," cubes
",Milk,"
",,"
",,"
",,"
",,"
",,"
",,,,,,,,,,,,
315,Jamaican Coffee,15825,Coffee / Tea,Champagne flute,"Stir the rum, coffee and water together. Top with the whipped cream. Sprinkle with a pinch of well ground coffee and drink with a straw.",Rum,1/6 glass ,Coffee,1/6 glass strong black ,Water,1/2 glass cold ,Whipped cream,"
",,"
",,"
",,"
",,"
",,"
",,,,,,,,,,,,
316,Japanese Fizz,11558,Ordinary Drink,Highball glass,"Shake all ingredients (except carbonated water) with ice and strain into a highball glass over two ice cubes. Fill with carbonated water, stir, and serve.",Blended whiskey,1 1/2 oz ,Lemon,Juice of 1/2 ,Powdered sugar,1 tsp ,Port,1 tblsp ,Egg white,1 ,Carbonated water,"
",,"
",,"
",,"
",,"
",,"
",,,,,,,,
317,Jello shots,14956,Shot,Shot glass,"Boil 3 cups of water then add jello. Mix jello and water until jello is completely disolved. Add the two cups of vodka and mix together. Pour mixture into plastic shot glasses and chill until firm. Then, eat away...",Vodka,2 cups ,Jello,3 packages ,Water,3 cups ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
318,Jelly Bean,13775,Shot,Cordial glass,mix equal parts in pony glass-tastes just like a jelly bean!,Blackberry brandy,1 oz ,Anis,1 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,,
319,Jewel Of The Nile,11566,Ordinary Drink,Cocktail glass,"In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass.",Gin,1 1/2 oz ,Green Chartreuse,1/2 oz ,Yellow Chartreuse,1/2 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
320,Jitterbug,16178,Cocktail,Cocktail Glass,"Wet glass, dip rim in sugar. Then add Ice. Then add everything else. It's that simple!",Gin,2 jiggers ,Vodka,1 jigger ,Grenadine,3 dashes ,Lime juice,1 shot ,Sugar,Around rim put 1 pinch ,Sugar syrup,3 dashes ,Soda water,Fill to top with ,, ,, ,, ,, ,, ,,,,,,
321,John Collins,11580,Ordinary Drink,Collins glass,Pour all ingredients directly into highball glass filled with ice. Stir gently. Garnish. Add a dash of Angostura bitters.,Bourbon,2 oz ,Lemon juice,1 oz ,Sugar,1 tsp superfine ,Club soda,3 oz ,Maraschino cherry,1 ,Orange,1 ,, ,, ,, ,, ,, ,,,,,,,,
322,Just a Moonmint,12688,Milk / Float / Shake,Highball Glass,"Place all ingredients in the blender jar - cover and whiz on medium speed until well blended. Pour in one tall, 2 medium or 3 small glasses and drink up.",Milk,2 cups ,Chocolate syrup,"
",Mint syrup,"
",,"
",,"
",,"
",,"
",,"
",,,,,,,,,,,,,,
323,Kamikaze,11600,Ordinary Drink,Cocktail glass,"Shake all ingredients together with ice. Strain into glass, garnish and serve.",Vodka,1 oz ,Triple sec,1 oz ,Lime juice,1 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
324,Karsk,12764,Ordinary Drink,Highball glass,"Put a copper coin in a coffe-cup and fill up with coffee until you no longer see the coin, then add alcohol until you see the coin. Norwegian speciality.",Coffee,1 part ,Grain alcohol,2 parts ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,,
325,Kentucky B And B,11602,Ordinary Drink,Brandy snifter,Pour the bourbon and Benedictine into a brandy snifter.,Bourbon,2 oz ,Benedictine,1/2 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,,
326,Kentucky Colonel,11604,Ordinary Drink,Cocktail glass,In a shaker half-filled with ice cubes combine the courbon and Benedictine. Shake and strain into a cocktail glass. Garnish with the lemon twist.,Bourbon,3 oz ,Benedictine,1/2 oz ,Lemon peel,1 twist of ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
327,Kill the cold Smoothie,12720,Other/Unknown,Highball glass,Juice ginger and lemon and add it to hot water. You may add cardomom.,Ginger,1 inch ,Lemon,1/4 ,Water,1 cup hot ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
328,Kioki Coffee,16951,Coffee / Tea,Coffee mug,Stir. Add whipped cream to the top.,Kahlua,1 oz ,Brandy,1/2 oz ,Coffee,"
",,"
",,"
",,"
",,"
",,"
",,,,,,,,,,,,,,
329,Kir,17203,Ordinary Drink,Wine Glass,"Add the crème de cassis to the bottom of the glass, then top up with wine.",Creme de Cassis,1 part ,Champagne,5 parts ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,,
330,Kir Royale,13837,Ordinary Drink,Champagne Flute,"Pour Creme de cassis in glass, gently pour champagne on top",Creme de Cassis,1 part ,Champagne,5 parts ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,,
331,Kiss me Quick,15026,Ordinary Drink,Highball glass,mix in the glass,Cranberry vodka,4 cl ,Apfelkorn,2 cl ,Schweppes Russchian,7 cl ,Apple juice,8 cl ,Ice," cubes
",,"
",,"
",,"
",,"
",,"
",,,,,,,,,,
332,Kiwi Lemon,14752,Ordinary Drink,Highball glass,Mix in highball glass. Stirr. Garnish with slice of kiwi.,Kiwi liqueur,1 part ,Bitter lemon,2 parts ,Ice," cubes
",,"
",,"
",,"
",,"
",,"
",,,,,,,,,,,,,,
333,Kiwi Papaya Smoothie,12714,Other/Unknown,Highball Glass,Throw everything into a blender and liquify.,Kiwi,3 ,Papaya,1/2 ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,,
334,Kool First Aid,17006,Shot,Shot glass,"Add Kool Aid to a double shot glass, and top with rum. Slam and shoot.",151 proof rum,2 oz light ,Kool-Aid,1/2 tsp Tropical ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,,
335,Kool-Aid Shot,13190,Shot,Old-fashioned glass,Pour into a large glass with ice and stir. Add a little cranberry juice to taste.,Vodka,1 shot ,Amaretto,1 shot ,Sloe gin,1 shot ,Triple sec,1 shot ,Cranberry juice,"
",,"
",,"
",,"
",,"
",,"
",,,,,,,,,,
336,Kool-Aid Slammer,14446,Shot,Shot glass,"Fill half the shot glass with the kool-aid first. Then put a paper towel over the top of the glass and slowly pour in the vodka. If you do it right, you should be able to see that the two liquids are separated, with the vodka on top. Now slam it! The last thing you'll taste is the kool-aid.",Kool-Aid,1/2 oz Grape ,Vodka,1/2 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,,
337,Kurant Tea,14456,Coffee / Tea,Champagne flute,"Pour Absolut Kurant into a comfortably big tea-cup. Add the not too hot(!) apple tea and, if you like, some sugar. Enjoy!",Absolut Kurant,4 cl ,Tea,Turkish apple ,Sugar," (if needed)
",,"
",,"
",,"
",,"
",,"
",,,,,,,,,,,,,,
338,Lady Love Fizz,11634,Ordinary Drink,Cocktail glass,"Shake all ingredients (except carbonated water) with ice and strain into a cocktail glass over two ice cubes. Fill with carbonated water, stir, and serve.",Gin,2 oz ,Light cream,2 tsp ,Powdered sugar,1 tsp ,Lemon,Juice of 1/2 ,Egg white,1 ,Carbonated water,"
",,"
",,"
",,"
",,"
",,"
",,,,,,,,
339,Lassi - A South Indian Drink,12690,Other/Unknown,Highball Glass,"Blend in a blender for 3 seconds. Lassi is one of the easiest things to make, and there are many ways of making it. Basically, it is buttermilk (yoghurt whisked with water), and you can choose almost any consistency that you like, from the thinnest to the thickest. Serve cold.",Yoghurt,1/2 cup plain ,Water,1 1/4 cup cold ,Cumin seed,1/2 tsp ground roasted ,Salt,1/4 tsp ,Mint,1/4 tsp dried ,, ,, ,, ,, ,, ,,,,,,,,,,
340,Lassi - Mango,12698,Other/Unknown,Highball glass,Put it all in a blender and pour over crushed ice. You can also use other fruits like strawberries and bananas.,Mango,2 ,Yoghurt,2 cups ,Sugar,1/2 cup ,Water,1 cup iced ,, ,, ,, ,, ,, ,,,,,,,,,,,,
341,Lassi - Sweet,12696,Other/Unknown,Highball glass,Put all ingredients into a blender and blend until nice and frothy. Serve chilled.,Yoghurt,1 cup ,Water,2 cups cold ,Sugar,4 tblsp ,Salt,pinch ,Lemon juice,2 tblsp ,, ,, ,, ,, ,, ,,,,,,,,,,
342,Lassi Khara,12692,Other/Unknown,Highball Glass,Blend (frappe) in blender until frothy. Add torn curry leaves and serve cold.,Yoghurt,1 cup ,Water,2 cups cold ,Salt,1 tsp ,Asafoetida,1 pinch ,, ,, ,, ,, ,, ,,,,,,,,,,,,
343,Lassi Raita,12694,Other/Unknown,Highball Glass,"Blend the yoghurt and ice cubes together, until the yoghurt becomes more liquid. Add sugar to taste. The lemon/lime is optional but it gives it a slightly tart taste. Dash of salt. Raita is also good for the summer. Instead of having a traditional salad you can make raita instead.",Yoghurt,2 cups ,Ice,4-6 ,Sugar,"
",Lime,"
",Salt,"
",,"
",,"
",,"
",,"
",,,,,,,,,,,,
344,Lemon Drop,14366,Cocktail,Cocktail glass,Shake and strain into a chilled cocktail glass rimmed with sugar.,Absolut Vodka,1 1/2 shot ,Cointreau,1 1/2 shot ,Lemon,Juice of 1 wedge ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
345,Lemon Shot,12752,Shot,Shot glass,"Mix Galliano and Absolut Citron in a shot glass, lay lemon wedge sprinkled with sugar over glass and pour a rum over wedge and glass. light rum with a lighter and let burn for a second. Do shot quickly and suck on lemon. If it is done correctly, this will taste like a shot of sweet lemonade.",Galliano,1/2 oz ,Absolut Citron,1/2 oz ,Lemon," wedge
",Sugar,Bacardi ,151 proof rum, ,, ,, ,, ,, ,,,,,,,,,,,,
346,Lemouroudji,12702,Other/Unknown,Highball Glass,"Juice the lemons. Peel and grate the ginger. Place the grated ginger and a liberal dash of the cayenne pepper into a piece of cheesecloth, and tie it into a knot. Let soak in the water. After 15 minutes or so, add the sugar, and the lemon juice. Chill, and serve.",Ginger,2 pieces ,Water,1 gal ,Lemon,1 lb ,Sugar,1 cup ,Cayenne pepper,ground ,, ,, ,, ,, ,, ,,,,,,,,,,
347,Limeade,12704,Other/Unknown,Highball glass,"In a large glass, put the lime juice and sugar, and stir well. Add cold seltzer water to fill. Put the lime peels in the glass. Drink. Repeat until limes or soda run out.",Lime,Juice of 1 ,Sugar,1 tblsp ,Soda water," (seltzer water)
",Lime peel, ,, ,, ,, ,, ,,,,,,,,,,,,,,
348,Limona Corona,15086,Beer,Beer Glass,"Open the Corona. Fill the empty space in the neck in the bottle with the rum. The bottle should be filled to the top. Plug the bottle with your thumb or the palm of your hand. Turn the bottle upside-down so the rum and beer mix. Turn the bottle rightside-up, unplug, and drink.",Corona,1 bottle ,Bacardi Limon,1 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,,
349,Loch Lomond,11658,Ordinary Drink,Cocktail glass,"In a mixing glass half-filled with ice cubes, combine the Scotch, Drambuie, and vermouth. Stir well. Strain into a cocktail glass. Garnish with the lemon twist.",Scotch,2 oz ,Drambuie,1/2 oz ,Dry Vermouth,1/2 oz ,Lemon peel,1 twist of ,, ,, ,, ,, ,, ,,,,,,,,,,,,
350,London Town,11662,Ordinary Drink,Cocktail glass,"In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass.",Gin,1 1/2 oz ,Maraschino liqueur,1/2 oz ,Orange bitters,2 dashes ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
351,Lone Tree Cocktail,11664,Ordinary Drink,Cocktail glass,"Stir ingredients with ice, strain into a cocktail glass, and serve.",Sweet Vermouth,3/4 oz ,Gin,1 1/2 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,,
352,Lone Tree Cooler,11666,Ordinary Drink,Collins glass,"Stir powdered sugar and 2 oz. carbonated water in a collins glass. Fill glass with ice, add gin and vermouth, and stir. Fill with carbonated water and stir again. Add the twist of lemon peel and the orange spiral so that the end dangles over rim of glass.",Carbonated water,"
",Gin,"
",Dry Vermouth,"
",Powdered sugar,"
",Orange spiral,"
",Lemon peel,"
",,"
",,"
",,"
",,"
",,"
",,,,,,,,
353,Long Island Iced Tea,17204,Ordinary Drink,Highball glass,Mix all contents in a highball glass and sitr gently. Add dash of Coca-Cola for the coloring and garnish with lemon or lime twist.,Vodka,1/2 oz ,Tequila,1/2 oz ,Light rum,1/2 oz ,Gin,1/2 oz ,Coca-Cola,1 dash ,Lemon peel,Twist of ,, ,, ,, ,, ,, ,,,,,,,,
354,Long Island Tea,11668,Ordinary Drink,Highball glass,Combine all ingredients (except cola) and pour over ice in a highball glass. Add the splash of cola for color. Decorate with a slice of lemon and serve.,Vodka,1/2 oz ,Light rum,1/2 oz ,Gin,1/2 oz ,Tequila,1/2 oz ,Lemon,Juice of 1/2 ,Coca-Cola,1 splash ,, ,, ,, ,, ,, ,,,,,,,,
355,Long vodka,13196,Ordinary Drink,Highball glass,"Shake a tall glass with ice cubes and Angostura, coating the inside of the glass. Por the vodka onto this, add 1 slice of lime and squeeze juice out of remainder, mix with tonic, stir and voila you have a Long Vodka",Vodka,5 cl ,Lime,1/2 ,Angostura bitters,4 dashes ,Tonic water,1 dl Schweppes ,Ice,4 ,, ,, ,, ,, ,, ,,,,,,,,,,
356,Lord And Lady,11670,Ordinary Drink,Old-fashioned glass,Pour the rum and Tia Maria into an old-fashioned glass almost filled with ice cubes. Stir well.,Dark rum,1 1/2 oz ,Tia maria,1/2 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,,
357,Lunch Box,14378,Beer,Pint glass,Fill a pint glass almost full with beer. Then fill the rest with orange juice (careful not to fill it to the top). Then take the shot of Amaretto and drop it in.,Beer,3/4 bottle ,Amaretto,1 shot ,Orange juice,1 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
358,Mai Tai,11690,Ordinary Drink,Collins glass,Shake all ingredients with ice. Strain into glass. Garnish and serve with straw.,Light rum,1 oz ,Orgeat syrup,1/2 oz ,Triple sec,1/2 oz ,Sweet and sour,1 1/2 oz ,Cherry,1 ,, ,, ,, ,, ,, ,,,,,,,,,,
359,Malibu Twister,15224,Cocktail,Highball glass,"Add rum & trister then, add cranberry jucie,stir",Malibu rum,2 parts ,Tropicana,2 parts ,Cranberry juice,1 part ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
360,Mango Orange Smoothie,12716,Other/Unknown,Highball Glass,Throw everything into a blender and liquify.,Mango,1 ,Orange,2 ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,,
361,Manhattan,13839,Cocktail,Cocktail glass,"Stirred over ice, strained into a chilled glass, garnished, and served up.",Sweet Vermouth,3/4 oz ,Bourbon,2 1/2 oz Blended ,Angostura bitters,dash ,Ice,2 or 3 ,Maraschino cherry,1 ,Orange peel,1 twist of ,, ,, ,, ,, ,, ,,,,,,,,
362,Margarita,13060,Ordinary Drink,Cocktail glass,"Rub the rim of the glass with the lime slice to make the salt stick to it. Take care to moisten only the outer rim and sprinkle the salt on it. The salt should present to the lips of the imbiber and never mix into the cocktail. Shake the other ingredients with ice, then carefully pour into the glass.",Tequila,1 1/2 oz ,Triple sec,1/2 oz ,Lime juice,1 oz ,Salt,,,,,,,,,,,,,,,,,,,,,,,
363,Martinez Cocktail,11720,Cocktail,Cocktail glass,Stir all ingredients (except cherry) with ice and strain into a cocktail glass. Top with the cherry and serve.,Gin,1 oz ,Dry Vermouth,1 oz ,Triple sec,1/4 tsp ,Orange bitters,1 dash ,Cherry,1 ,, ,, ,, ,, ,, ,,,,,,,,,,
364,Martini,11728,Cocktail,Cocktail glass,"Straight: Pour all ingredients into mixing glass with ice cubes. Stir well. Strain in chilled martini cocktail glass. Squeeze oil from lemon peel onto the drink, or garnish with olive.",Gin,1 2/3 oz ,Dry Vermouth,1/3 oz ,Olive,1 ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
365,Mary Pickford,17188,Cocktail,Cocktail glass,Shake and strain into a chilled large cocktail glass,Light rum,1 1/2 oz ,Pineapple juice,1 oz ,Maraschino liqueur,1/2 tsp ,Grenadine,1/2 tsp ,Maraschino cherry,1 ,, ,, ,, ,, ,, ,,,,,,,,,,
366,Masala Chai,12774,Coffee / Tea,Coffee Mug,Bring 2 cups of water to boil. Add all the ingredients and boil again for about 15 seconds. Let stand for a minute. Warm milk in a pot. Filter tea into cups. Add milk and sugar. That's IT.,Water,2 cups ,Tea,3-4 tsp ,Ginger,1 chunk dried ,Cardamom,3-4 crushed ,Cloves,3 ,Cinnamon,1 piece ,Black pepper,1-2 whole ,Sugar," to taste
",Milk, ,, ,, ,, ,, ,,,,
367,Melya,12776,Coffee / Tea,Coffee mug,"Brew espresso. In a coffee mug, place 1 teaspoon of unsweetened powdered cocoa, then cover a teaspoon with honey and drizzle it into the cup. Stir while the coffee brews, this is the fun part. The cocoa seems to coat the honey without mixing, so you get a dusty, sticky mass that looks as though it will never mix. Then all at once, presto! It looks like dark chocolate sauce. Pour hot espresso over the honey, stirring to dissolve. Serve with cream.",Espresso,"
",Honey,Unsweetened ,Cocoa powder, ,, ,, ,, ,, ,,,,,,,,,,,,,,,,
368,Miami Vice,13936,Cocktail,Cocktail glass,"First: Mix pina colada with 2.5 oz. of rum with ice(set aside). Second: Mix daiquiri with 2.5 oz. of rum with ice. Third: While frozen, add pina colda mix then daiquiri mix in glass (Making sure they do not get mixed together).",151 proof rum,5 oz Bacardi ,Pina colada mix,frozen ,Daiquiri mix,frozen ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
369,Microwave Hot Cocoa,12744,Cocoa,Coffee mug,"Combine sugar, cocoa, salt and hot water in 1-quart micro-proof measuring cup (or coffee mug). Microwave at HIGH (100%) for 1 to 1 1/2 minutes or until boiling. Add milk, sitr and microwave an additonal 1 1/2 to 2 minutes or until hot. Stir in vanilla, blend well.",Sugar,5 tblsp ,Cocoa powder,3 tblsp ,Salt,1 dash ,Water,3 tblsp hot ,Milk,2 cups ,Vanilla extract,1/4 tsp ,, ,, ,, ,, ,, ,,,,,,,,
370,Midnight Cowboy,11766,Ordinary Drink,Cocktail glass,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass.",Bourbon,2 oz ,Dark rum,1 oz ,Heavy cream,1/2 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
371,Midnight Manx,13825,Ordinary Drink,Old-fashioned glass,"Fill a mixer with ice and add Baileys, Kahlua, Goldshlager, and cream. Shake for 5 seconds and Strain into a double rocks glass filled with ice. Add chilled coffee Stir and enjoy!",Kahlua,1 oz ,Bailey's irish cream,1 oz ,Goldschlager,dash ,Heavy cream,2 oz ,Coffee,2 oz Hazlenut ,, ,, ,, ,, ,, ,,,,,,,,,,
372,Midnight Mint,14842,Cocktail,Cocktail glass,"If available, rim cocktail (Martini) glass with sugar syrup then dip into chocolate flakes or powder. Add ingredients into shaker with ice. Shake well then strain into cocktail glass.",Bailey's irish cream,1 oz ,White Creme de Menthe,3/4 oz ,Cream,3/4 oz double ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
373,Mimosa,17205,Ordinary Drink,Champagne flute,"Ensure both ingredients are well chilled, then mix into the glass. Serve cold.",Champagne,Chilled ,Orange juice,2 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,,
374,Mississippi Planters Punch,11786,Ordinary Drink,Collins glass,"Shake all ingredients (except carbonated water) with ice and strain into a collins glass over ice cubes. Fill with carbonated water, stir, and serve.",Brandy,1 oz ,Light rum,1/2 oz ,Bourbon,1/2 oz ,Lemon,Juice of 1/2 ,Powdered sugar,1 tblsp ,Carbonated water,"
",,"
",,"
",,"
",,"
",,"
",,,,,,,,
375,Mocha-Berry,14209,Coffee / Tea,Irish coffee cup,"pour 6 oz. of coffee in a mug or Irish coffee cup. add coca mix and chambord, mix well and top off with whipped cream.",Coffee,6 oz ,Chambord raspberry liqueur,2 oz ,Cocoa powder,2 tblsp ,Whipped cream,"
",,"
",,"
",,"
",,"
",,"
",,,,,,,,,,,,
376,Mojito,13427,Cocktail,Highball glass,Muddle mint leaves with sugar and lime juice. Add a splash of soda water and fill the glass with cracked ice. Pour the rum and top with soda water. Garnish and serve with straw.,Light rum,2-3 oz ,Lime,Juice of 1 ,Sugar,2 tsp ,Mint,2-4 ,Soda water,,,,,,,,,,,,,,,,,,,,,
377,Mojito #3,15841,Cocktail,Collins glass,"Put mint with lemon juice in a glas, mash the mint with a spoon, ice, rum & fill up with club soda. Top it with Angostura.",Mint,1/2 handful ,Lemon juice,3 cl ,Dark rum,1/8 L Jamaican ,Club soda,1/8 L ,Angostura bitters,8 drops ,, ,, ,, ,, ,, ,,,,,,,,,,
378,Monkey Gland,17189,Ordinary Drink,Cocktail glass,"Shake well over ice cubes in a shaker, strain into a chilled cocktail glass.",Gin,2 oz ,Benedictine,1 tsp ,Orange juice,1/2 oz ,Grenadine,1 tsp ,, ,, ,, ,, ,, ,,,,,,,,,,,,
379,Monkey Wrench,11798,Ordinary Drink,Old-fashioned glass,Pour all of the ingredients into an old-fashioned glass almost filled with ice cubes. Stir well.,Light rum,1 1/2 oz ,Grapefruit juice,3 oz ,Bitters,1 dash ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
380,Moranguito,16196,Shot,Shot glass,"first you put rhe absinthe, then put tequila, then put the Granadine syrup.",Absinthe,2/5 ,Tequila,2/5 ,Grenadine,1/5 ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
381,Moscow Mule,13254,Punch / Party Drink,Copper Mug,Combine vodka and ginger beer in a highball glass filled with ice. Add lime juice. Stir gently. Garnish.,Vodka,2 oz ,Lime juice,2 oz ,Ginger ale,8 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
382,Mother's Milk,14053,Shot,Shot glass,"Shake over ice, strain. Serves two.",Goldschlager,1 oz ,Butterscotch schnapps,1 oz ,Milk,1 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
383,Mudslinger,16041,Punch / Party Drink,Punch bowl,Add all contents to a large jug or punch bowl. Stir well!,Southern Comfort,750 ml ,Orange juice,1 L ,Pepsi Cola,750 ml ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
384,Mulled Wine,12988,Punch / Party Drink,Collins Glass,"Simmer 3 cups water with, sugar, cloves, cinnamon sticks, and lemon peel in a stainless steel pot for 10 minutes. Add wine heat to a ""coffee temperature"" (DO NOT BOIL) then add the brandy.",Water,3 cups ,Sugar,1 cup ,Cloves,12 ,Cinnamon,2 ,Lemon peel,1 ,Red wine,750 ml ,Brandy,1/4 cup ,, ,, ,, ,, ,, ,,,,,,
385,National Aquarium,13192,Ordinary Drink,Collins Glass,Pour all ingredients into a shaker of ice. Shake well. Serve on the rocks.,Rum,1/2 oz ,Vodka,1/2 oz ,Gin,1/2 oz ,Blue Curacao,1/2 oz ,Sour mix,2 oz ,Lemon-lime soda,1 splash ,, ,, ,, ,, ,, ,,,,,,,,
386,Negroni,15549,Ordinary Drink,Old-fashioned glass,"Stir into glass over ice, garnish and serve.",Gin,1 oz ,Campari,1 oz ,Sweet Vermouth,1 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
387,New York Lemonade,13204,Cocktail,Cocktail glass,Serve in a chilled cocktail glass. Lemon and sugar the rim. Stir and Strain.,Absolut Citron,2 oz ,Grand Marnier,1 oz ,Lemon juice,2 oz sweetened ,Club soda,1 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,
