,Drink,Drink ID,Category,Glass,Instructions,Ingredient1,Measure1,Ingredient2,Measure2,Ingredient3,Measure3,Ingredient4,Measure4,Ingredient5,Measure5,Ingredient6,Measure6,Ingredient7,Measure7,Ingredient8,Measure8,Ingredient9,Measure9,Ingredient10,Measure10,Ingredient11,Measure11,Ingredient12,Measure12,Ingredient13,Measure13,Ingredient14,Measure14,Ingredient15,Measure15
19,A Piece of Ass,16405,Other/Unknown,Highball glass,Put ice in glass. Pour in shots. Fill with Sour Mix.,Amaretto,1 shot ,Southern Comfort,1 shot ,Ice," cubes
",Sour mix,"
",,"
",,"
",,"
",,"
",,"
",,,,,,,,,,,,
20,A Splash of Nash,14564,Shot,Highball glass,Drop shot glass with banana & melon liquers into a 9 oz hi- ball glass containing soda water and cranberry juice. Drink in one shot.,Cranberry juice,2 oz ,Soda water,2 oz ,Midori melon liqueur,0.5 oz ,Creme de Banane,0.5 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,
21,A True Amaretto Sour,17005,Cocktail,Old-fashioned glass,"Rub the rim of an old fashioned glass with lemon, and dip repeatedly into granulated sugar until it has a good ""frosted"" rim. Shake a jigger of Amaretto with the juice of 1/2 a lemon. Strain into glass and add ice. Garnish with a Marachino Cherry.",Amaretto,1 jigger ,Lemon,Juice of 1/2 ,Ice,"
",Maraschino cherry, ,, ,, ,, ,, ,,,,,,,,,,,,,,
22,A midsummernight dream,15675,Ordinary Drink,Collins Glass,"Mix the strawberrys in a blender Pour it together with the vodka,kirch and strawberry liquer over ice in a shaker. Shake well and pour in a highballglass. Fill up with the Russchian water",Vodka,2 oz ,Kirschwasser,1 oz ,Strawberry liqueur,1 tsp ,Strawberries,5 ,Schweppes Russchian,"
",,"
",,"
",,"
",,"
",,"
",,,,,,,,,,
23,A. J.,11002,Ordinary Drink,Cocktail glass,"Shake ingredients with ice, strain into a cocktail glass, and serve.",Applejack,1 1/2 oz ,Grapefruit juice,1 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,,
24,A.D.M. (After Dinner Mint),14560,Cocktail,Irish coffee cup,shake vigorously,White Creme de Menthe,1/2 oz ,Southern Comfort,3/4 oz ,Vodka,1/2 oz ,Hot chocolate,Fill with ,, ,, ,, ,, ,, ,,,,,,,,,,,,
25,A1,17222,Cocktail,Cocktail glass,"Pour all ingredients into a cocktail shaker, mix and serve over ice into a chilled glass.",Gin,1 3/4 shot ,Grand Marnier,1 Shot ,Lemon Juice,1/4 Shot,Grenadine,1/8 Shot,,"
",,"
",,"
",,,,,,,,,,,,,,,,
26,ABC,13501,Shot,Shot glass,Layered in a shot glass.,Amaretto,1/3 ,Bailey's irish cream,1/3 ,Cognac,1/3 ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
27,ACID,14610,Shot,Shot glass,Poor in the 151 first followed by the 101 served with a Coke or Dr Pepper chaser.,151 proof rum,1 oz Bacardi ,Wild Turkey,1 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,,
28,AT&T,13938,Ordinary Drink,Highball Glass,"Pour Vodka and Gin over ice, add Tonic and Stir",Absolut Vodka,1 oz ,Gin,1 oz ,Tonic water,4 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
